no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category
9841,2018-09-24T08:06:49.000Z,Komisi IX DPR RDPU dengan Pakar tentang RUU Pengawasan Obat dan Makanan Senin September Komisi Sangat Besar Hrapn RRU BPOM Bisa Diundangkan Pada Masa Sidang Terdekat,komisi IX DPR RDPU dengan pakar tentang RUU awas obat dan makanan senin september komisi sangat besar hrapn RRU BPOM dapat undang pada masa sidang dekat,0.8,0.2,0.44721359549995804,positive
9934,2018-09-15T14:50:31.000Z,Bagaimana DPR bisa bisa mendengar aspirasi rakyat? Yg difollow aja yg sudah sejahtera Pantesan kita bertuan kepada DPR Bukannya mereka yang seharusnya bertuan pada kita Kita yg mendengarkan atau mereka dengar Mereka duduk untuk Individualisme,bagaimana DPR dapat dapat dengar aspirasi rakyat ? yang difollow saja yang sudah sejahtera pantesan kita tuan kepada DPR bukan mereka yang harus tuan pada kita kita yang dengar atau mereka dengar mereka kedudukan untuk individualisme,-2.8,-0.7,0.44721359549995787,negative
9936,2018-09-15T10:07:03.000Z,Untuk menyempurnakan RUU Penyadapan yang sedang dirancang oleh para anggota DPR RI saya mengunjungi Kolombia dalam rangka riset bersama beberapa anggota baleg disambut oleh Duta Besar RI untuk Kolombia dan,untuk sempurna RUU sadap yang sedang rancangan oleh para anggota DPR RI saya unjung kolombia dalam rangka riset sama beberapa anggota baleg sambut oleh duta besar RI untuk kolombia dan,0.8,0.2,0.44721359549995804,positive
9986,2018-09-13T09:38:48.000Z,assalamualaikum pak Fakhri Hamzah yg terhormat yg di amanah kan sebagian wakil DPR RI Saya nak usul Boleh Gimana pak klau di adakan rapat Paripurna antara DPR dan MPR untuk menurunkan pak jokowi yg terhormat,assalamualaikum pak fakhri hamzah yang hormat yang di amanah kan bagi wakil DPR RI saya nak usul boleh bagaimana pak jika di adakan rapat paripurna antara DPR dan MPR untuk turun pak jokowi yang hormat,-1.2,-0.3,0.4472135954999579,negative
9991,2018-09-12T19:59:35.000Z,Jelas terbukti bahwa wakil rakyat kita masih condong ke partainya masing masing dr pd mewakili aspirasi rakyat Dapat dilihat dr gencar nya membanggakan salah satu paslon dalam keadaan wawancara memakai seragam wakil rakyat Kalau di jam bebas silahkan Ini masih di gedung dpr,jelas bukti bahwa wakil rakyat kita masih condong ke partai masing masing dari pada wakil aspirasi rakyat dapat lihat dari gencar nya bangga salah satu paslon dalam ada wawancara pemakaian seragam wakil rakyat jika di jam bebas sila ini masih di gedung dpr,-2.4,-0.6,0.5477225575051661,negative
9999,2018-09-11T15:11:43.000Z,Spirit RUU Pertanahan Integrasikan Sektor SDA,spirit RUU tanah integrasi sektor SDA,-0.2,-0.05,1.0954451150103324,negative
10010,2018-09-10T10:36:30.000Z,Pelaksana UU saat ini adalah eksekutif dalam hal ini adalah BI Jadi bukan yang MENEKAN untuk swap hedging kecuali kita sudah kembali pada khitah semangat UUD bukan Lagipula kebijakan SH udah ada sejak KitaOgahDiNgabalin,laksana UU saat ini adalah eksekutif dalam hal ini adalah BI jadi bukan yang TEKAN untuk swap hedging kecuali kita sudah kembali pada khitah semangat UUD bukan lagipula kebijakan SH sudah ada sejak kitaogahdingabalin,0.0,0.0,0.0,neutral
10018,2018-09-09T06:50:07.000Z,Anda itu keliru! Bhw rakyat di adu di pasar bebas pd saat belum berdaya dan pemerintah terus menekan dg pola kebijakan pasar yg menguntungkan Cukong Calo Where s protection? Sbaiknya anda belajar ekonomi pembangunan UUD AGAR TIDAK DITIPU REZIM BERKUASA,anda itu keliru ! bahwa rakyat di adu di pasar bebas pada saat belum daya dan pemerintah terus tekan dengan pola kebijakan pasar yang untung cukong calo where si protection ? baik anda belajar ekonomi pembangunan UUD AGAR TIDAK TIPU REZIM KUASA,-1.6,-0.4,0.8944271909999161,negative
10142,2018-08-29T10:20:35.000Z,Semoga semakin bisa mewakili rakyat serta dapat menampung mengeksekusi dan memperjuangkan aspirasi rakyat Stand Up Comedian Iwel Sastra Dirgahayu DPR RI Ke ! HUTDPR TahunDPR,moga makin dapat wakil rakyat serta dapat tampung eksekusi dan juang aspirasi rakyat stand up comedian iwel sastra dirgahayu DPR RI ke ! HUTDPR tahundpr,1.4,0.35,0.5477225575051661,positive
10146,2018-08-29T09:44:32.000Z,Dewan Perwakilan Rakyat DPR menggelar rapat paripurna tentang pemandangan umum fraksi fraksi atas Rancangan Undang undang tentang APBN Tahun Anggaran beserta Nota Keuangan Dewan Perwakilan Rakyat DPR,dewan wakil rakyat DPR gelar rapat paripurna tentang pandang umum partai partai atas rancangan undang undang tentang APBN tahun anggaran serta nota uang dewan wakil rakyat DPR,0.0,0.0,0.0,neutral
10199,2018-08-27T07:48:49.000Z,Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Pesisir Barat Pesibar menggelar Rapat paripurna dengan agenda penandatanganan nota kesepakatan lampung pesisirbarat indonesia Selengkapnya baca link dibawah ini,dewan wakil rakyat daerah DPRD kabupaten pesisir barat sibar gelar rapat paripurna dengan agenda penandatanganan nota sepakat lampung pesisirbarat indonesia lengkap baca link bawah ini,0.0,0.0,0.0,neutral
10226,2018-08-24T12:42:07.000Z,harus melakukan tindakan yg komprehensif terhadap karena kebijakan IMPORnya telah gila gilaan sangat merugikan Petani Indonesia Kita tahu bersama diduga kuat ada fee yg amazing dari MAFIA IMPOR sbg pelicin utk hal tsb,harus pelaksanaan tindakan yang komprehensif hadap karena kebijakan impor telah banget gila sangat rugi tani indonesia kita tahu sama duga kuat ada fee yang amazing dari MAFIA IMPOR bagai licin untuk hal sebut,-3.6,-0.9,0.5477225575051661,negative
10228,2018-08-24T07:53:54.000Z,Haluuu Pak apa kbr ruu penyiaran???,haluu pak apa kbr ruu siar ? ?,-1.0,-0.25,0.0,negative
10229,2018-08-24T07:53:16.000Z,INI FITNAH SESAT DEMI KEPENTINGAN NEGARA APAPUN HRUS DILAKUKAN TANYA PANGLIMA ATAU KOMANDAN Atau AHLI HUKUM BELAJARLAH DAHULU JDI PENYUSUP AGAR TAHU KEBIJAKAN PEMIMPIN,INI FITNAH SESAT DEMI PENTING NEGARA APA HARUS PELAKSANAAN TANYA PANGLIMA ATAU KOMANDAN atau AHLI HUKUM BAJAR DAHULU JADI SUSUP AGAR TAHU KEBIJAKAN KEPEMIMPINAN,-0.4,-0.1,0.894427190999916,negative
10249,2018-08-21T05:21:00.000Z,Wakil DPR RI Uji Konsep RUU EBT bersama Pakar UMM UMMCampus,wakil DPR RI uji konsep RUU EBT sama pakar UMM ummcampus,0.8,0.2,0.44721359549995804,positive
10263,2018-08-20T00:24:51.000Z,jangan jd dungu kalo hanya mau benarkan jokowi justeru dgn tdk jelasnya aturan lebih leluasa mengambil kebijakan bayangkan saja kalo syaratnya ditil semua syarat harus terpenuhi,jangan jadi dungu jika hanya mau benar jokowi justru dengan tidak jelas pengaturan lebih leluasa ambil kebijakan bayang saja jika syarat ditil semua syarat harus penuh,-1.6,-0.4,0.5477225575051661,negative
10297,2018-08-16T09:19:28.000Z,I added a video to a playlist NANANG SAMBUT RESES ANGGOTA DPR RI,i added a video tetapi a playlist NANANG SAMBUT RESES ANGGOTA DPR RI,0.6,0.15,0.5477225575051662,positive
10391,2018-08-07T11:54:00.000Z,Bedah Lapau dilakukan Refrizal setiap kali reses dia fokus pada Lapau karena dalam tradisi Minang surau lapau dan rantau adalah tiga institusi kuat dalam membentuk watak generasinya Lapau adalah simpul informasi pedesaan cc,bedah lapau pelaksanaan refrizal tiap kali reses dia fokus pada lapau karena dalam tradisi mang surau lapau dan rantau adalah tiga institusi kuat dalam bentuk watak generasi lapau adalah simpul informasi desa cc,0.8,0.2,0.44721359549995804,positive
10468,2018-07-29T04:12:17.000Z,RT GesuriId Jember PDIPerjuanganMnang PDIPerjuangan Yoseph Umarhadi memanfaatkan waktu reses DPR dengan mengunjungi beberapa tempat di Dapilnya sesuai dengan laporan dan keluhan masyarakat umarhadi_yoseph DPR_RI dprreses aspirasimasyarakat,RT gesuriid jember pdiperjuanganmnang pdiperjuangan yoseph umarhadi manfaat waktu reses DPR dengan unjung beberapa tempat di dapilnya sesuai dengan lapor dan keluh masyarakat umarhadi_yoseph DPR_RI dprreses aspirasimasyarakat,0.8,0.2,0.44721359549995804,positive
10543,2018-07-23T13:09:25.000Z,Kalau saya menjadi Anggota DPR saya berniat meluruskan kebijakan ini Membereskan RUU Kewirausahaan misalnya UU kita harus siap mengatur dan mendorong rakyat berkompetisi di MEA lalu secara global Kita harus lindungi rakyat dari predator asing! Tidak boleh naif lagi,jika saya jadi anggota DPR saya niat lurus kebijakan ini beres RUU kewirausahaan misal UU kita harus siap pengaturan dan dorong rakyat kompetisi di MEA lalu cara global kita harus lindung rakyat dari predator asing ! tidak boleh naif lagi,1.0,0.25,0.0,positive
10545,2018-07-23T10:15:05.000Z,Kebijakan BUMN sbg kendaraan kepentingan penguasa ZHOLIM Sarang timses CSR diarahkan utk timses Keuangan BUMN digorok BUMN jd bancakan BUMN kolaps dijual Knp KALIAN cuma melongo knp KALIAN tertular PLANGA PLONGO Cc,kebijakan BUMN bagai kendara penting kuasa ZHOLIM sarang timses CSR arah untuk timses uang BUMN gorok BUMN jadi bancak BUMN kolaps jual kenapa KALIAN cuma longo kenapa KALIAN tular PLANGA PLONGO cc,-3.4,-0.85,0.5477225575051661,negative
10568,2018-07-21T18:44:59.000Z,Inginkan Perubahan Abdul basyid Has Maju DPR RI untuk Perjuangkan Aspirasi Rakyat Kepri,ingin ubah abdul basyid has maju DPR RI untuk juang aspirasi rakyat kepri,0.8,0.2,0.44721359549995804,positive
10571,2018-07-21T15:44:09.000Z,Dear Bukankah Anda bagian dari penjaga kedamaian? Bukankah Anda memiliki aturan dlm menjaga kedamaian medsos? Bukankah Anda pelaksana undang undang yg sudah disepakati dgn Nitizen? Jika DEMIKIAN KENAPA AKUN PENEBAR HOAX DIBIARKAN SPT ITU? TangkapFadliDzon,dear bukankah anda bagi dari jaga damai ? bukankah anda milik pengaturan dalam jaga damai medsos ? bukankah anda laksana undang undang yang sudah pakat dengan nitizen ? jika DEMIKIAN KENAPA AKUN TEBAR HOAX BIAR SEPERTI ITU ? tangkapfadlidzon,-2.2,-0.55,0.4472135954999579,negative
10642,2018-07-16T07:20:40.000Z,masih menunggu kebijakan mereka jika ada,masih tunggu kebijakan mereka jika ada,-1.2,-0.3,0.44721359549995804,negative
10649,2018-07-15T09:51:06.000Z,Jika kita anggota DPR harusnya kita berhasil menciptakan aturan kebijakan yang lebih berfaedah dibandingkan DPRnya Thailand sebelum kita ingin petani kita lebih mumpuni dari petani Thailand,jika kita anggota DPR harus kita hasil cipta pengaturan kebijakan yang lebih faedah banding dprnya thailand belum kita ingin tani kita lebih mumpuni dari tani thailand,-0.4,-0.1,0.5477225575051662,negative
10660,2018-07-14T03:06:09.000Z,Bangku bangku DPR kosong saat Rapat paripurna RAPBN ! Pertanyaannya apakah masih mau memilih wakil Rakyat yg seperti itu? PSI akan mengubah wajah DPR dengan orang orang yang bertanggung jawab,bangku bangku DPR kosong saat rapat paripurna RAPBN ! tanya apakah masih mau pilih wakil rakyat yang seperti itu ? PSI akan ubah wajah DPR dengan orang orang yang pertanggungjawaban jawab,-2.8,-0.7,0.44721359549995787,negative
10662,2018-07-13T16:27:50.000Z,Terimakasih kepada Kepala BPPT Tim Pansus RUU Sinas Iptek Komisi DPR RI Komisaris PT Garam Dirut dan Direksi PT Garam Pusyantek BPPT IABIE IKASMANSATAMA Smansa Magelang atas,terimakasih kepada kepala BPPT tim pansus RUU sinas iptek komisi DPR RI komisaris PT garam dirut dan direksi PT garam pusyantek BPPT IABIE IKASMANSATAMA smansa magelang atas,1.4,0.35,0.5477225575051661,positive
10663,2018-07-13T15:14:32.000Z,Waduh msk org kampung sndiri gak tau sih masa reses ngapain aje? Ngetuit? Lg gak reses jg ngetuit? Mending jgn jd anggota DPR mas jd bajer aje,waduh masuk orang kampung sendiri tidak tau sih masa reses kapai aje ? ngetuit ? lagi tidak reses juga ngetuit ? mending jangan jadi anggota DPR mas jadi bajer saja,-3.0,-0.75,0.7071067811865476,negative
10682,2018-07-12T06:56:31.000Z,yth adnggota dpr beginikah mencerminkan wakil rakyat ?,yth adnggota dpr begini cermin wakil rakyat ?,-2.0,-0.5,0.7071067811865476,negative
10706,2018-07-10T07:16:17.000Z,Berikut berikut rekomendasi Fraksi Partai Gerindra di terkait Rancangan Undang Undang Tentang Pertanggungjawaban Atas Pelaksanaan Anggaran Pendapatan dan Belanja Negara Tahun Anggaran,ikut ikut rekomendasi partai partai gerindra di kait rancangan undang undang tentang pertanggungjawaban atas laksana anggaran dapat dan belanja negara tahun anggaran,0.0,0.0,0.0,neutral
10726,2018-07-09T03:40:00.000Z,KLU TOH FRAKSI ANDA TDK MENYETUJUI UU ITU KAN BUKAN BERARTI MEMBOHONGI RAKYAT KRN RUU TDK AKAN BISA MENJADI UU APABILA TDK DISETUJUI OLEH MAYORITAS FRAKSI anggota DPR di sidang Paripurna bukan ? JADI TLG HARGAI JUGA HAK KOLEGA ANDA YG SETUJU,JIKA TOH PARTAI ANDA TIDAK TUJU UU ITU KAN BUKAN ARTI BOHONG RAKYAT KARENA RUU TIDAK AKAN DAPAT JADI UU APABILA TIDAK TUJU OLEH MAYORITAS PARTAI anggota DPR di sidang paripurna bukan ? JADI TOLONG HARGA JUGA HAK KOLEGA ANDA YANG TUJU,-0.2,-0.05,0.447213595499958,negative
10786,2018-07-03T07:43:37.000Z,Pernyataan Presiden Joko Widodo Jokowi yang mengatakan jika Komisi Pemilihan Umum KPU diberikan kewenangan oleh Undang Undang untuk membuat peraturan mendapat tanggapan keras dari Ketua DPR RI Bambang Soesatyo Jokowi DPR,nyata presiden joko widodo jokowi yang kata jika komisi pilih umum KPU beri wenang oleh undang undang untuk buat pengaturan dapat tanggap keras dari ketua DPR RI bambang soesatyo jokowi DPR,-0.4,-0.1,0.5477225575051662,negative
10794,2019-12-30T15:11:17.000Z,Warga Sangatta Selatan Antusias Hadiri Reses Anggota DPR RI,warga sangatta selatan antusias hadir reses anggota DPR RI,0.8,0.2,0.44721359549995804,positive
10795,2019-12-30T15:04:18.000Z,JOURNAL RESES DPR RI WARGA DESAK TETI NYALON BUPATI CILACAP via,JOURNAL RESES DPR RI WARGA DESAKAN TETI NYALON BUPATI CILACAP via,0.0,0.0,0.0,neutral
10827,2019-12-29T06:36:14.000Z,Tak hanya soal RUU KPK sejumlah pihak turut memberi sorotan terhadap figur Firli Bahuri yang kini menjabat sebagai Ketua Ia diduga pernah melakukan pelanggaran etik saat masih menjabat sebagai Deputi Penindakan KPK CNNIndonesia,tak hanya soal RUU KPK jumlah pihak turut beri sorot hadap figur firli bahuri yang kini jabatan bagai ketua ia duga pernah pelaksanaan langgar etik saat masih jabatan bagai deputi tindakan KPK cnnindonesia,-1.0,-0.25,0.7071067811865476,negative
10853,2019-12-27T05:57:26.000Z,Kakanwil BPN Provinsi Sumatera Selatan Bpk H Muchtar SH MM menerima kunjungan kerja reses Bpk H Wahyu Sanjaya SE selaku Anggota DPR RI Komisi II Bidang Pemerintahan Dalam Negeri Otonomi Daerah Aparatur Negara Reformasi Birokrasi Kepemiluan Pertanahan dan Reforma Agraria,kakanwil BPN provinsi sumatera selatan bpk h muchtar SH MM terima kunjung kerja reses bpk h wahyu sanjaya SE selaku anggota DPR RI komisi II bidang pemerintah dalam negeri otonomi daerah aparatur negara reformasi birokrasi pemilu tanah dan reforma agraria,0.0,0.0,0.0,neutral
10869,2019-12-26T03:48:27.000Z,Assalamu alaikum wr wb Jambi barat kami datang lagi Kerja nyata membangun Negeri Jambi Reses Anggota F PAN DPR RI DPRD Provinsi Jambi dan DPRD Kab Merangin Bapak H BAKRI Anggota F PAN DPR RI Komisi V yang,assalamu alaikum wr wb jambi barat kami datang lagi kerja nyata bangun negeri jambi reses anggota f KAPAN DPR RI DPRD provinsi jambi dan DPRD kab rangin bapak h BAKRI anggota f KAPAN DPR RI komisi v yang,0.8,0.2,0.44721359549995804,positive
10874,2019-12-25T16:58:55.000Z,Reses Anggota F PKB DPR RI mendengar menyerap Aspirasi PUMR,reses anggota f PKB DPR RI dengar serap aspirasi PUMR,0.8,0.2,0.44721359549995804,positive
10887,2019-12-25T07:30:50.000Z,Anggota Fraksi PKS DPR RI Rofiq Hananto didampingi oleh Anggota DPRD FPKS Kab Kebumen dan BPH DPD PKS Kebumen bersilaturahmi dengan Bupati Kebumen Bapak Ir H Mohammad Yahya Fuad SE di Komplek Pendopo Bupati Kebumen fraksipksdprri reses,anggota partai PKS DPR RI rofiq hananto damping oleh anggota DPRD FPKS kab kebumen dan BPH DPD PKS kebumen silaturahmi dengan bupati kebumen bapak ir h mohammad yahya fuad SE di komplek pendopo bupati kebumen fraksipksdprri reses,0.4,0.1,0.5477225575051662,positive
10903,2019-12-24T03:09:41.000Z,Anggota Fraksi NasDem DPR RI Satori melaksanakan kegiatan reses dengan mengunjungi Pesantren Jamiyyatut Tholibin di desa Babakan Ciwaringin Cirebon Jawa Barat Senin Selengkapnya NasDemAntiMahar,anggota partai nasdem DPR RI satori laksana giat reses dengan unjung pesantren jamiyyatut tholibin di desa babakan ciwaringin cirebon jawa barat senin lengkap nasdemantimahar,0.8,0.2,0.44721359549995804,positive
10919,2019-12-23T12:06:26.000Z,titiknya jangan jangan Fiktif? Jd ga bisa di datangi Kalo adapun membuktikan Anggota DPR nya males dengerin aspirasi Rakyat sisa waktunya buat piknik,titik jangan jangan fiktif ? jadi tidak dapat di datang jika adapun bukti anggota DPR nya malas dengar aspirasi rakyat sisa waktu buat piknik,-3.6,-0.9,0.8944271909999161,negative
10940,2019-12-22T10:54:06.000Z,Ini tugas anggota saat reses ya?,ini tugas anggota saat reses ya ?,-0.6,-0.15,0.5477225575051662,negative
10943,2019-12-22T06:57:41.000Z,Anggota DPR Aceh Salihin F PKB melaksanakan Reses II Tahun ke Daerah Pemilihan IV Kabupaten Aceh Tengah dan Bener Meriah resesdpra acehtengah benermeriah,anggota DPR aceh salihin f PKB laksana reses II tahun ke daerah pilih IV kabupaten aceh tengah dan banget riah resesdpra acehtengah benermeriah,0.0,0.0,0.0,neutral
10964,2019-12-21T07:25:13.000Z,Tim Komisi III DPR RI Puji Layanan Keimigrasian di TPI Bandara Internasional Juanda SURABAYA Kunjungan kerja dalam rangka reses Komisi III DPR RI masa persidangan I Tahun berlanjut Usai melakukan rapat,tim komisi II DPR RI puji layan imigrasi di TETAPI bandara internasional juanda SURABAYA kunjung kerja dalam rangka reses komisi II DPR RI masa sidang i tahun lanjut usai pelaksanaan rapat,1.0,0.25,0.0,positive
11000,2019-12-19T17:53:08.000Z,Dalam rangka Reses II Tahun ke Daerah Pemilihan VII Kabupaten Aceh Tamiang dan Kota Langsa Anggota DPR Aceh H Jauhari Amin SH MH melakukan penyerapan Aspirasi dari warga di Kota Langsa Secara resmi,dalam rangka reses II tahun ke daerah pilih VII kabupaten aceh tamiang dan kota langsa anggota DPR aceh h jauhari amin SH MAH pelaksanaan serap aspirasi dari warga di kota langsa cara resmi,0.0,0.0,0.0,neutral
11049,2019-12-18T09:15:00.000Z,Pembatasan terhadap wartawan dan interupsi anggota DPR di rapat paripurna menunjukkan kecenderungan DPR yang saat ini tertutup antidialog bahkan mengarah pada otoriter Polhuk AdadiKompas,batas hadap wartawan dan interupsi anggota DPR di rapat paripurna tunjuk cenderung DPR yang saat ini tutup antidialog bahkan arah pada otoriter polhuk adadikompas,-3.0,-0.75,0.0,negative
11066,2019-12-17T23:17:20.000Z,Tertarik pada point huruf d dan i Pemantauan dana aspirasi DPR dan Open Parliament Indonesia OPI Rapat Paripurna DPR RI Ke Masa Persidangan I Tahun Sidang dengan agenda Laporan Badan,tarik pada point huruf di dan i pantau dana aspirasi DPR dan open parliament indonesia OPI rapat paripurna DPR RI ke masa sidang i tahun sidang dengan agenda lapor badan,0.8,0.2,0.44721359549995804,positive
11067,2019-12-17T20:10:00.000Z,Sejumlah Anggota DPR Pesimistis soal Target RUU Prolegnas,jumlah anggota DPR pesimistis soal target RUU prolegnas,-1.0,-0.25,0.0,negative
11068,2019-12-17T20:03:48.000Z,Foto Rapat paripurna DPR RI mengesahkan program legislasi nasional prolegnas untuk DPR juga sepakat mengesahkan RUU masuk prolegnas prioritas Begini momennya RUU,foto rapat paripurna DPR RI pengesahan program legislasi nasional prolegnas untuk DPR juga sepakat pengesahan RUU masuk prolegnas prioritas begini momen RUU,0.6,0.15,0.5477225575051662,positive
11069,2019-12-17T17:55:22.000Z,DPR RI Minta TV Dukung RUU Penyiaran,DPR RI minta TV dukungan RUU siar,0.0,0.0,0.0,neutral
11082,2019-12-17T08:52:16.000Z,DPR Sepakati RUU Prolegnas dan Prolegnas Prioritas,DPR sepakat RUU prolegnas dan prolegnas prioritas,0.4,0.1,0.5477225575051662,positive
11114,2019-12-16T14:20:44.000Z,Pak doktor anda berkesempatan untuk menjawab bantahan bu susi Sebagai anggota dpr seharusnya anda kritis pada kebijakan mentri bukan malah dukung kebijakan ygvkontroversi,pak doktor anda sempat untuk jawab bantah bu sus bagai anggota dpr harus anda kritis pada kebijakan tri bukan malah dukungan kebijakan ygvkontroversi,-2.0,-0.5,0.0,negative
11145,2019-12-13T18:31:54.000Z,Menteri tidak mau menjadi pihak yang sotoy terus merumuskan kebijakan sendiri sebagai seolah sebagai father know every things Tidak Mas punya rekam jejak panjang sebagai tahun penuh memimpin komisi IV DPR RI sebagai pendengar yang baik,menteri tidak mau jadi pihak yang sok tau terus rumus kebijakan sendiri bagai pengolahan bagai father know every things tidak mas punya rekam jejak panjang bagai tahun penuh kepemimpinan komisi IV DPR RI bagai dengar yang baik,0.6,0.15,0.8944271909999161,positive
11195,2020-12-28T11:02:37.000Z,Oktober menjadi masa puncak kontroversi pengusunan RUU Cipta Kerja Di tengah gelombang demonstrasi Dewan Perwakilan Rakyat mengesahkan undang undang sapu jagat yang dinilai mengancam buruh dan lingkungan hidup ini MajalahTempo,oktober jadi masa puncak kontroversi pengusunan RUU cipta kerja di tengah gelombang demonstrasi dewan wakil rakyat pengesahan undang undang sapu jagat yang nilai ancam buruh dan lingkung hidup ini majalahtempo,-2.2,-0.55,0.4472135954999579,negative
11201,2020-12-28T07:24:23.000Z,Sebab Tidak ada hukum bagi seorang wakil rakyat dalam menentukan kebijakan rumusan uu yang sudah disah Arinya manusia harus mencari jalan solusi Sesuatu yang salah harus diperjuangkan utk benarkan Bukan membentuk gurita gurita baru,karena tidak ada hukum bagi orang wakil rakyat dalam tentu kebijakan rumus uu yang sudah sah ari manusia harus cari jalan solusi sesuatu yang salah harus juang untuk benar bukan bentuk gurita gurita baru,-0.4,-0.1,0.5477225575051662,negative
11265,2020-12-21T05:21:56.000Z,Baleg DPR tidak menemukan halangan saat mengusulkan RUU PKS masuk dalam pembahasan Program Legislasi Nasional Prolegnas Prioritas Komitmen itu diharapkan tidak berubah hingga pengesahan di rapat paripurna DPR ruuPKS FRAKSINASDEM,baleg DPR tidak temu halang saat usul RUU PKS masuk dalam bahas program legislasi nasional prolegnas prioritas komitmen itu harap tidak ubah hingga pengesahan di rapat paripurna DPR ruupks FRAKSINASDEM,0.8,0.2,0.44721359549995804,positive
11326,2020-12-16T06:24:29.000Z,Anggota Komisi X DPR RI Yoyok Sukawi mendesak adanya angka pasti di dalam APBN untuk dunia olahraga Menurut Yoyok Sukawi yang termasuk anggota Panja RUU SKN sudah saatnya dunia olahraga lebih diperhatikan dgn memberi porsi anggaran yang lebih ideal,anggota komisi kali DPR RI yoyok sukawi desakan ada angka pasti di dalam APBN untuk dunia olahraga turut yoyok sukawi yang masuk anggota panja RUU SKN sudah saat dunia olahraga lebih perhati dengan beri porsi anggaran yang lebih ideal,1.0,0.25,0.0,positive
11336,2020-12-15T11:35:37.000Z,Upaya Pemerintah dan DPR RI memulihkan perekonomian nasional melalui pengesahan UU Cipta Kerja mendapat sorotan dari kalangan buruh mahasiswa dan kelompok kepentingan Sejumlah pasal dapat meningkatkan kesejahteraan buruh dan masyarakat secara umum,upaya pemerintah dan DPR RI pulih ekonomi nasional lalu pengesahan UU cipta kerja dapat sorot dari kalang buruh mahasiswa dan kelompok penting jumlah pasal dapat tingkat sejahtera buruh dan masyarakat cara umum,0.8,0.2,0.44721359549995804,positive
11408,2020-12-10T01:06:50.000Z,Gini yah kerjaan wakil rakyat pas pemilihan minta suara rakyat pas kepilih lgsg tuli gk mendengar aspirasi rakyat nah skrg dah pda pinter rakyat gk penting jg milih krn bakal gitu aja pesta politik jalan terus d tengah wabah,begini ya kerja wakil rakyat pas pilih minta suara rakyat pas pilih langsung tuli tidak dengar aspirasi rakyat nah sekarang deh pada pintar rakyat tidak penting juga pilih karena bakal begitu saja pesta politik jalan terus di tengah wabah,-3.2,-0.8,0.8366600265340756,negative
11440,2020-12-07T16:14:23.000Z,RUU Jalan Disetujui jadi Usul Inisiatif DPR RI,RUU jalan tuju jadi usul inisiatif DPR RI,0.8,0.2,0.44721359549995804,positive
11459,2020-12-07T01:20:54.000Z,Terima kasih sdh mau menjelaskan pd pak BTP dan pd publik Jangan kecewakan dan khianati masyarakat ya mba jadilah wakil rakyat yg benar menyuarakan aspirasi rakyat dan selalu menggunakan hati nurani hikmat marifat Tuhan dan akal waras dlm bekerja,terima kasih sudah mau jelas pada pak BTP dan pada publik jangan kecewa dan khianat masyarakat ya mbak jadi wakil rakyat yang banget suara aspirasi rakyat dan selalu penggunaan hati nurani hikmat marifat tuhan dan akal waras dalam kerja,1.0,0.25,0.0,positive
11510,2020-12-02T10:09:35.000Z,Anggota Batalyon C Pelopor Satuan Brimob Polda Metro Jaya Melaksanakan Kegiatan Pengamanan Unjuk Rasa Dari PPMI Persaudaraan Pekerja Muslim Indonesia Jumlah orang Tuntutan Batalkan RUU Omnibuslaw Di Gedung MPR DPR RI Jakarta Pusat,anggota batalyon sih pelopor satu brimob polda metro jaya laksana giat aman unjuk rasa dari PPMI saudara kerja muslim indonesia jumlah orang tuntutan batal RUU omnibuslaw di gedung MPR DPR RI jakarta pusat,-0.8,-0.2,0.44721359549995804,negative
11526,2020-12-01T05:22:35.000Z,surat presiden naskah RUU Cipta Kerja serta naskah akademik yg menyertainya kepada Ketua dan Wakil Ketua tanggal Februari KumhamPasti OmnibusLawTaatProsedural Kumham,surat presiden naskah RUU cipta kerja serta naskah akademik yang serta kepada ketua dan wakil ketua tanggal februari kumhampasti omnibuslawtaatprosedural kumham,0.0,0.0,0.0,neutral
11533,2020-11-30T13:36:23.000Z,Webinar ini dilatarbelakangi lantaran kekhawatiran DPR RI atas perkembangan situasi Palestina khususnya dampak dari kebijakan ceroboh Donald Trump yang sangat merugikan masa depan Palestina diplomasiparlemen,webinar ini dilatarbelakangi lantar khawatir DPR RI atas kembang situasi palestina khusus dampak dari kebijakan ceroboh donald trump yang sangat rugi masa depan palestina diplomasiparlemen,0.4,0.1,0.5477225575051662,positive
11554,2020-11-28T04:20:20.000Z,Pemerintah bersama Dewan Perwakilan Rakyat DPR RI menginisiasi Rancangan Undang undang RUU Omnibus Law Sektor Keuangan,pemerintah sama dewan wakil rakyat DPR RI inisiasi rancangan undang undang RUU omnibus law sektor uang,0.8,0.2,0.44721359549995804,positive
11555,2020-11-28T02:26:36.000Z,Bagaimana Penjelasan lengkap terkait aturan Medsos untuk pengguna media sosial usia di bawah tahun di Rancangan Undang Undang Perlindungan Data Pribadi RUU PDP ? Simak saat ini pembahasannya bersama Anggota Komisi DPR RI Muhammad Farhan,bagaimana jelas lengkap kait pengaturan medsos untuk penggunaan media sosial usia di bawah tahun di rancangan undang undang lindung data pribadi RUU PDP ? simak saat ini bahas sama anggota komisi DPR RI muhammad farhan,0.8,0.2,0.44721359549995804,positive
